beer_name,style,brewery,city,abv,num_ratings,ba_score
Between Two Points,Belgian Saison,Woodstock Brewing,Phoenicia,6,2,5
Blueberry Boo-Liner,Berliner Weisse,Coney Island Brewing Company,Brooklyn,5.5,1,5
Hop Master,American Imperial IPA,Destination Unknown Beer Co.,Bay Shore,8.8,1,5
Hillside Harvest,German Hefeweizen,Fox N Hare Brewing Company,Port Jervis,5,1,5
Clouded Judgement,New England IPA,Four Mile Brewing,Olean,6,1,5
Crooked Creek Wet Hop Ale,American Pale Ale (APA),Four Mile Brewing,Olean,5.6,1,5
It's All About Me,American Cream Ale,Four Mile Brewing,Olean,5,1,5
Suski Smash,American Pale Ale (APA),Four Mile Brewing,Olean,6,1,5
Jurassic IPA,American IPA,Gentle Giant Brewing Company,Pearl River,5,1,5
Gatecreeper,German Helles,Kings County Brewers Collective (KCBC),Brooklyn,4.8,1,5
Mel's Everyday Beer,American Lager,Mel's Brewing Co,New York,4.8,1,5
H6 Balaton Cherry Sour,American Wild Ale,Transmitter Brewing,Brooklyn,6.4,1,5
Orange Blossom,American IPA,The North Brewery,Endicott,8,1,5
Bioluminescence,American Black Ale,Rare Form Brewing Company,Troy,5.5,1,5
Pedal Pusher,French Bière de Garde,Rusty Nickel Brewing Co,West Seneca,?,1,5
Imp. Stout,American Stout,Rohrbach Brewing Company (Brewpub),Rochester,9,1,5
Mad Black Ale,American Black Ale,Seneca Street Brew Pub,Manlius,8.3,1,5
531 IPA,American IPA,Stoneyard Brewing Company,Brockport,8,1,5
Let's Have A Beer,American IPA,Stoneyard Brewing Company,Brockport,6,1,5
Oatmeal Stout,English Oatmeal Stout,Splitrock Brewing Co.,Elmira,5.5,1,5
Kingdom of the Dinosaurs Dunkel,German Dunkelweizen,Gentle Giant Brewing Company,Pearl River,5,1,4.99
Batch 3,Scotch Ale / Wee Heavy,Woodland Farm Brewery,Utica,10.3,1,4.95
Ms. Browns Maple Porter,American Porter,Rusty Nickel Brewing Co,West Seneca,5.5,1,4.94
Branched #1,American Wild Ale,Common Roots Brewing Company,South Glens Falls,?,1,4.93
The Rogue's Return,American Black Ale,The North Brewery,Endicott,7,1,4.93
Belma & Jarrylouise,New England IPA,Mikkeller NYC,Corona,6.5,1,4.88
There Gose The Farm,Leipzig Gose,Good Nature Farm Brewery & Tap Room - Downtown,Hamilton,3.4,1,4.87
Vic Secret,American IPA,Barrier Brewing Company,Oceanside,7.6,1,4.84
West Coast Pale,American Pale Ale (APA),Roots Brewing Company,Oneonta,5.8,2,4.78
Hops Of Glory,American Imperial IPA,The North Brewery,Endicott,10.8,5,4.77
Meathead Double IPA,American Imperial IPA,Stoneyard Brewing Company,Brockport,9.5,3,4.76
Dubbel Ringer,Belgian Dubbel,Yard Owl Craft Brewery,Gardiner,7.5,1,4.75
Pretty in Pink,American IPA,Great South Bay Brewery,Bay Shore,6.7,1,4.75
Hazy IIPA,New England IPA,Mikkeller NYC,Corona,8.3,1,4.75
Double Dry Hopped Hop Showers w/ Galaxy & Wai-iti,New England IPA,Other Half Brewing Co.,Brooklyn,?,1,4.75
"Halt, Who Gose There?",Leipzig Gose,42 North Brewing Company,East Aurora,5.5,1,4.74
Single Batch 32,New England IPA,"Middle Ages Brewing Co., Ltd.",Syracuse,7,1,4.74
Orange Clouds IPA,American IPA,WT Brews,Baldwinsville,7.2,1,4.72
Unoccupied Space (Chocolate & Vanilla),American Imperial Stout,Finback Brewery,Queens,12,1,4.72
Sundial,American IPA,Obercreek Brewing Company,Wappingers Falls,6.8,1,4.72
Hard Labor,German Pilsner,Prison City Pub & Brewery,Auburn,5.3,1,4.72
120 Shilling Ale,Scotch Ale / Wee Heavy,Lake Placid Craft Brewing Company,Lake Placid,9.2,2,4.71
Shagbark Russian Imperial Stout,Russian Imperial Stout,Stoneyard Brewing Company,Brockport,10.7,1,4.71
Barrel-Aged Wham Whams,American Imperial Stout,Prison City Pub & Brewery,Auburn,11,3,4.7
Eternal Return: Cabernet Sauvignon,American Wild Ale,Threes Brewing,Brooklyn,9.44,2,4.7
Barrel Aged Luxuria,American Imperial Stout,Bacchus & The Brewery at Bacchus,New Paltz,11,1,4.7
Dickens Christmas Ale,American Stout,Empire Brewing Company - Brewpub,Syracuse,?,1,4.7
Castle House,American Lager,Garvies Point Craft Brewery,Glen Cove,4.6,1,4.7
Raspberry wheat,Fruit and Field Beer,S&S Farm Brewery,Nassau,?,1,4.7
Codename: Pythons,American Imperial IPA,WT Brews,Baldwinsville,7.7,1,4.69
Laboratory Waves,American Imperial IPA,Equilibrium Brewery,Middletown,10.2,9,4.68
No Recollection,American Pale Ale (APA),District 96 Beer Factory,New City,5.2,1,4.68
Glycerin: Pink Guava and Red Currant,New England IPA,Hudson Valley Brewery,Beacon,8,9,4.67
Hydra - Key Lime + Raspberry + Sweet Cherry,American Wild Ale,Mortalis Brewing Co.,Avon,?,2,4.67
